id,mitra_id,survey_id,target,rate,created_at,updated_at
1,1,1,1,1,2025-07-10 08:07:44,2025-07-10 08:07:44
2,2,1,1,1,2025-07-10 08:14:57,2025-07-10 08:14:57
3,3,1,1,1,2025-07-10 08:14:57,2025-07-10 08:14:57
4,4,1,1,1,2025-07-10 08:14:58,2025-07-10 08:14:58
5,5,2,1,1,2025-07-10 08:16:42,2025-07-10 08:16:42
6,2,2,1,1,2025-07-10 08:16:42,2025-07-10 08:16:42
7,3,2,1,1,2025-07-10 08:16:43,2025-07-10 08:16:43
8,4,2,1,1,2025-07-10 08:16:43,2025-07-10 08:16:43
9,6,2,1,1,2025-07-10 08:16:44,2025-07-10 08:16:44
10,1,2,1,1,2025-07-10 08:16:44,2025-07-10 08:16:44
11,7,2,1,1,2025-07-10 08:16:44,2025-07-10 08:16:44
12,8,2,1,1,2025-07-10 08:16:45,2025-07-10 08:16:45
13,9,2,1,1,2025-07-10 08:16:45,2025-07-10 08:16:45
14,5,3,1,1,2025-07-10 08:19:42,2025-07-10 08:19:42
15,2,3,1,1,2025-07-10 08:19:42,2025-07-10 08:19:42
16,3,3,1,1,2025-07-10 08:19:43,2025-07-10 08:19:43
17,4,3,1,1,2025-07-10 08:19:43,2025-07-10 08:19:43
18,6,3,1,1,2025-07-10 08:19:43,2025-07-10 08:19:43
19,1,3,1,1,2025-07-10 08:19:44,2025-07-10 08:19:44
20,7,3,1,1,2025-07-10 08:19:44,2025-07-10 08:19:44
21,8,3,1,1,2025-07-10 08:19:44,2025-07-10 08:19:44
22,9,3,1,1,2025-07-10 08:19:45,2025-07-10 08:19:45
23,10,4,1,1,2025-07-10 08:22:06,2025-07-10 08:22:06
24,2,4,1,1,2025-07-10 08:22:06,2025-07-10 08:22:06
25,4,4,1,1,2025-07-10 08:22:06,2025-07-10 08:22:06
26,11,4,1,1,2025-07-10 08:22:07,2025-07-10 08:22:07
27,12,4,1,1,2025-07-10 08:22:07,2025-07-10 08:22:07
28,7,4,1,1,2025-07-10 08:22:08,2025-07-10 08:22:08
29,8,5,1,1,2025-07-10 08:23:37,2025-07-10 08:23:37
30,5,6,1,1,2025-07-10 08:25:02,2025-07-10 08:25:02
31,6,6,1,1,2025-07-10 08:25:02,2025-07-10 08:25:02
32,12,6,1,1,2025-07-10 08:25:03,2025-07-10 08:25:03
33,13,6,1,1,2025-07-10 08:25:03,2025-07-10 08:25:03
34,2,7,1,1,2025-07-10 08:28:04,2025-07-10 08:28:04
35,12,7,1,1,2025-07-10 08:28:04,2025-07-10 08:28:04
36,7,7,1,1,2025-07-10 08:28:04,2025-07-10 08:28:04
37,14,8,1,1,2025-07-10 08:29:37,2025-07-10 08:29:37
38,5,8,1,1,2025-07-10 08:29:37,2025-07-10 08:29:37
39,10,8,1,1,2025-07-10 08:29:37,2025-07-10 08:29:37
40,2,8,1,1,2025-07-10 08:29:38,2025-07-10 08:29:38
41,3,8,1,1,2025-07-10 08:29:38,2025-07-10 08:29:38
42,15,8,1,1,2025-07-10 08:29:38,2025-07-10 08:29:38
43,6,8,1,1,2025-07-10 08:29:39,2025-07-10 08:29:39
44,1,8,1,1,2025-07-10 08:29:39,2025-07-10 08:29:39
45,12,8,1,1,2025-07-10 08:29:39,2025-07-10 08:29:39
46,13,8,1,1,2025-07-10 08:29:40,2025-07-10 08:29:40
47,7,8,1,1,2025-07-10 08:29:40,2025-07-10 08:29:40
48,8,8,1,1,2025-07-10 08:29:40,2025-07-10 08:29:40
49,2,9,1,1,2025-07-10 08:31:02,2025-07-10 08:31:02
50,12,9,1,1,2025-07-10 08:31:03,2025-07-10 08:31:03
51,16,10,1,1,2025-07-10 08:37:01,2025-07-10 08:37:01
52,17,10,1,1,2025-07-10 08:37:02,2025-07-10 08:37:02
53,18,10,1,1,2025-07-10 08:37:02,2025-07-10 08:37:02
54,19,10,1,1,2025-07-10 08:37:02,2025-07-10 08:37:02
55,20,10,1,1,2025-07-10 08:37:03,2025-07-10 08:37:03
56,21,10,1,1,2025-07-10 08:37:03,2025-07-10 08:37:03
57,22,10,1,1,2025-07-10 08:37:04,2025-07-10 08:37:04
58,2,11,1,1,2025-07-10 08:38:25,2025-07-10 08:38:25
59,15,11,1,1,2025-07-10 08:38:25,2025-07-10 08:38:25
60,4,11,1,1,2025-07-10 08:38:26,2025-07-10 08:38:26
61,23,11,1,1,2025-07-10 08:38:26,2025-07-10 08:38:26
62,11,11,1,1,2025-07-10 08:38:27,2025-07-10 08:38:27
63,12,11,1,1,2025-07-10 08:38:27,2025-07-10 08:38:27
64,7,11,1,1,2025-07-10 08:38:28,2025-07-10 08:38:28
65,2,12,1,1,2025-07-10 08:40:33,2025-07-10 08:40:33
66,7,12,1,1,2025-07-10 08:40:34,2025-07-10 08:40:34
67,21,12,1,1,2025-07-10 08:40:34,2025-07-10 08:40:34
68,12,12,1,1,2025-07-10 08:40:34,2025-07-10 08:40:34
69,4,12,1,1,2025-07-10 08:40:35,2025-07-10 08:40:35
70,1,12,1,1,2025-07-10 08:40:35,2025-07-10 08:40:35
71,16,13,1,1,2025-07-10 08:41:53,2025-07-10 08:41:53
72,17,13,1,1,2025-07-10 08:41:53,2025-07-10 08:41:53
73,21,13,1,1,2025-07-10 08:41:53,2025-07-10 08:41:53
74,5,14,1,1,2025-07-10 08:44:15,2025-07-10 08:44:15
75,2,14,1,1,2025-07-10 08:44:15,2025-07-10 08:44:15
76,24,14,1,1,2025-07-10 08:44:15,2025-07-10 08:44:15
77,6,14,1,1,2025-07-10 08:44:16,2025-07-10 08:44:16
78,13,14,1,1,2025-07-10 08:44:16,2025-07-10 08:44:16
79,25,14,1,1,2025-07-10 08:44:17,2025-07-10 08:44:17
80,26,15,1,1,2025-07-10 08:46:37,2025-07-10 08:46:37
81,27,15,1,1,2025-07-10 08:46:38,2025-07-10 08:46:38
82,28,15,1,1,2025-07-10 08:46:38,2025-07-10 08:46:38
83,29,15,1,1,2025-07-10 08:46:39,2025-07-10 08:46:39
84,30,15,1,1,2025-07-10 08:46:39,2025-07-10 08:46:39
85,31,15,1,1,2025-07-10 08:46:39,2025-07-10 08:46:39
86,23,15,1,1,2025-07-10 08:46:40,2025-07-10 08:46:40
87,32,15,1,1,2025-07-10 08:46:40,2025-07-10 08:46:40
88,33,15,1,1,2025-07-10 08:46:40,2025-07-10 08:46:40
89,34,15,1,1,2025-07-10 08:46:41,2025-07-10 08:46:41
90,5,16,1,1,2025-07-10 08:50:11,2025-07-10 08:50:11
91,23,16,1,1,2025-07-10 08:50:11,2025-07-10 08:50:11
92,11,16,1,1,2025-07-10 08:50:11,2025-07-10 08:50:11
93,12,16,1,1,2025-07-10 08:50:12,2025-07-10 08:50:12
94,35,16,1,1,2025-07-10 08:50:12,2025-07-10 08:50:12
95,36,16,1,1,2025-07-10 08:50:12,2025-07-10 08:50:12
96,37,16,1,1,2025-07-10 08:50:13,2025-07-10 08:50:13
97,36,17,1,1,2025-07-10 08:51:43,2025-07-10 08:51:43
98,2,17,1,1,2025-07-10 08:51:43,2025-07-10 08:51:43
99,38,18,1,1,2025-07-10 08:57:25,2025-07-10 08:57:25
100,39,18,1,1,2025-07-10 08:57:25,2025-07-10 08:57:25
101,24,18,1,1,2025-07-10 08:57:25,2025-07-10 08:57:25
102,40,18,1,1,2025-07-10 08:57:26,2025-07-10 08:57:26
103,41,18,1,1,2025-07-10 08:57:26,2025-07-10 08:57:26
104,42,18,1,1,2025-07-10 08:57:27,2025-07-10 08:57:27
105,12,18,1,1,2025-07-10 08:57:27,2025-07-10 08:57:27
106,43,18,1,1,2025-07-10 08:57:27,2025-07-10 08:57:27
107,36,18,1,1,2025-07-10 08:57:28,2025-07-10 08:57:28
108,44,18,1,1,2025-07-10 08:57:28,2025-07-10 08:57:28
109,39,19,1,1,2025-07-10 08:58:48,2025-07-10 08:58:48
110,41,19,1,1,2025-07-10 08:58:48,2025-07-10 08:58:48
111,12,19,1,1,2025-07-10 08:58:49,2025-07-10 08:58:49
112,44,19,1,1,2025-07-10 08:58:49,2025-07-10 08:58:49
113,37,19,1,1,2025-07-10 08:58:50,2025-07-10 08:58:50
114,11,19,1,1,2025-07-10 08:58:51,2025-07-10 08:58:51
115,36,19,1,1,2025-07-10 08:58:51,2025-07-10 08:58:51
116,11,20,1,1,2025-07-10 08:59:49,2025-07-10 08:59:49
117,43,20,1,1,2025-07-10 08:59:49,2025-07-10 08:59:49
118,36,20,1,1,2025-07-10 08:59:49,2025-07-10 08:59:49
119,35,20,1,1,2025-07-10 08:59:50,2025-07-10 08:59:50
120,37,20,1,1,2025-07-10 08:59:50,2025-07-10 08:59:50
121,45,21,1,1,2025-07-10 09:09:07,2025-07-10 09:09:07
122,36,22,1,1,2025-07-10 09:11:17,2025-07-10 09:11:17
123,36,23,1,1,2025-07-10 09:12:23,2025-07-10 09:12:23
124,12,24,1,1,2025-07-10 09:18:38,2025-07-10 09:18:38
125,44,24,1,1,2025-07-10 09:18:39,2025-07-10 09:18:39
126,36,25,1,1,2025-07-10 09:20:00,2025-07-10 09:20:00
127,36,26,1,1,2025-07-10 09:21:58,2025-07-10 09:21:58
128,11,27,1,1,2025-07-10 09:22:49,2025-07-10 09:22:49
129,43,27,1,1,2025-07-10 09:22:50,2025-07-10 09:22:50
130,35,27,1,1,2025-07-10 09:22:50,2025-07-10 09:22:50
131,37,27,1,1,2025-07-10 09:22:50,2025-07-10 09:22:50
132,1,28,1,1,2025-07-10 09:29:08,2025-07-10 09:29:08
133,13,28,1,1,2025-07-10 09:29:08,2025-07-10 09:29:08
134,25,28,1,1,2025-07-10 09:29:09,2025-07-10 09:29:09
135,46,29,1,1,2025-07-10 09:30:42,2025-07-10 09:30:42
136,10,29,1,1,2025-07-10 09:30:42,2025-07-10 09:30:42
137,47,29,1,1,2025-07-10 09:30:43,2025-07-10 09:30:43
138,48,29,1,1,2025-07-10 09:30:43,2025-07-10 09:30:43
139,35,29,1,1,2025-07-10 09:30:44,2025-07-10 09:30:44
140,49,30,1,1,2025-07-10 09:33:34,2025-07-10 09:33:34
141,50,30,1,1,2025-07-10 09:33:35,2025-07-10 09:33:35
142,51,30,1,1,2025-07-10 09:33:35,2025-07-10 09:33:35
