transaction_id,aspek1,aspek2,aspek3,rerata,created_at,updated_at
2,4,4,4,4.00,2025-07-10 08:14:57,2025-07-10 08:14:57
3,4,4,4,4.00,2025-07-10 08:14:57,2025-07-10 08:14:57
4,4,4,4,4.00,2025-07-10 08:14:58,2025-07-10 08:14:58
1,4,4,4,4.00,2025-07-10 08:14:58,2025-07-10 08:14:58
5,4,4,4,4.00,2025-07-10 08:16:42,2025-07-10 08:16:42
6,4,4,4,4.00,2025-07-10 08:16:42,2025-07-10 08:16:42
7,4,4,4,4.00,2025-07-10 08:16:43,2025-07-10 08:16:43
8,4,4,4,4.00,2025-07-10 08:16:43,2025-07-10 08:16:43
9,4,4,4,4.00,2025-07-10 08:16:44,2025-07-10 08:16:44
10,4,4,4,4.00,2025-07-10 08:16:44,2025-07-10 08:16:44
11,4,4,4,4.00,2025-07-10 08:16:44,2025-07-10 08:16:44
12,4,4,4,4.00,2025-07-10 08:16:45,2025-07-10 08:16:45
13,4,4,4,4.00,2025-07-10 08:16:45,2025-07-10 08:16:45
14,4,4,4,4.00,2025-07-10 08:19:42,2025-07-10 08:19:42
15,4,4,4,4.00,2025-07-10 08:19:42,2025-07-10 08:19:42
16,4,4,4,4.00,2025-07-10 08:19:43,2025-07-10 08:19:43
17,4,4,4,4.00,2025-07-10 08:19:43,2025-07-10 08:19:43
18,4,4,4,4.00,2025-07-10 08:19:43,2025-07-10 08:19:43
19,4,4,4,4.00,2025-07-10 08:19:44,2025-07-10 08:19:44
20,4,4,4,4.00,2025-07-10 08:19:44,2025-07-10 08:19:44
21,4,4,4,4.00,2025-07-10 08:19:44,2025-07-10 08:19:44
22,4,4,4,4.00,2025-07-10 08:19:45,2025-07-10 08:19:45
23,4,4,4,4.00,2025-07-10 08:22:06,2025-07-10 08:22:06
24,4,4,4,4.00,2025-07-10 08:22:06,2025-07-10 08:22:06
25,4,5,4,4.33,2025-07-10 08:22:06,2025-07-10 08:22:06
26,4,4,4,4.00,2025-07-10 08:22:07,2025-07-10 08:22:07
27,4,4,4,4.00,2025-07-10 08:22:07,2025-07-10 08:22:07
28,4,4,4,4.00,2025-07-10 08:22:08,2025-07-10 08:22:08
29,4,4,4,4.00,2025-07-10 08:23:37,2025-07-10 08:23:37
30,4,4,4,4.00,2025-07-10 08:25:02,2025-07-10 08:25:02
31,4,4,4,4.00,2025-07-10 08:25:02,2025-07-10 08:25:02
32,4,4,4,4.00,2025-07-10 08:25:03,2025-07-10 08:25:03
33,4,4,4,4.00,2025-07-10 08:25:03,2025-07-10 08:25:03
34,4,4,4,4.00,2025-07-10 08:28:04,2025-07-10 08:28:04
35,4,4,4,4.00,2025-07-10 08:28:04,2025-07-10 08:28:04
